,pattern,replacement,match,c_aristotelicum,c_hippocraticum
0,^λ[υ|ύ]π.+,λύπ*,λυπέον,0,8
1,^λ[υ|ύ]π.+,λύπ*,λυπέοιτο,0,1
4,^λ[υ|ύ]π.+,λύπ*,λύπη,197,11
6,^λ[υ|ύ]π.+,λύπ*,λυπέουσα,0,1
7,^λ[υ|ύ]π.+,λύπ*,λυπέοντα,0,3
8,^λ[υ|ύ]π.+,λύπ*,λυπέω,113,16
9,^λ[υ|ύ]π.+,λύπ*,λυπέῃ,0,5
10,^λ[υ|ύ]π.+,λύπ*,λυπέεται,0,3
11,^λ[υ|ύ]π.+,λύπ*,λυπέουσαν,0,1
12,^λ[υ|ύ]π.+,λύπ*,λυπηρός,83,3
13,^λ[υ|ύ]π.+,λύπ*,λυπέονταί,0,1
18,^λ[υ|ύ]π.+,λύπ*,λυπεόντων,0,1
19,^λ[υ|ύ]π.+,λύπ*,λύπημα,0,1
20,^λ[υ|ύ]π.+,λύπ*,λυπέοντος,0,1
22,^λ[υ|ύ]π.+,λύπ*,λυπέωσι,0,1
25,^λ[υ|ύ]π.+,λύπ*,λυπέουσιν,0,1
26,[α|ά|ἀ|ἄ]λγ.+,ἄλγ*,κεφαλαλγέουσι,0,1
27,[α|ά|ἀ|ἄ]λγ.+,ἄλγ*,κεφαλαλγίην,0,2
29,[α|ά|ἀ|ἄ]λγ.+,ἄλγ*,ἀλγέοντα,0,3
30,[α|ά|ἀ|ἄ]λγ.+,ἄλγ*,κεφαλαλγήσει,0,1
31,[α|ά|ἀ|ἄ]λγ.+,ἄλγ*,ἀλγέον,0,2
32,[α|ά|ἀ|ἄ]λγ.+,ἄλγ*,ἄλγημα,3,141
33,[α|ά|ἀ|ἄ]λγ.+,ἄλγ*,καρδιαλγίης,0,1
34,[α|ά|ἀ|ἄ]λγ.+,ἄλγ*,κεφαλαλγικοῖσιν,0,1
35,[α|ά|ἀ|ἄ]λγ.+,ἄλγ*,ἀλγέοντας,0,1
37,[α|ά|ἀ|ἄ]λγ.+,ἄλγ*,κεφαλαλγίης,0,10
38,[α|ά|ἀ|ἄ]λγ.+,ἄλγ*,ὀσφυαλγήσασι,0,1
39,[α|ά|ἀ|ἄ]λγ.+,ἄλγ*,καρδιαλγέες,0,1
40,[α|ά|ἀ|ἄ]λγ.+,ἄλγ*,ἀλγέοντος,0,2
41,[α|ά|ἀ|ἄ]λγ.+,ἄλγ*,κεφαλαλγικοὺς,0,1
42,[α|ά|ἀ|ἄ]λγ.+,ἄλγ*,ἀλγούμενον,0,1
43,[α|ά|ἀ|ἄ]λγ.+,ἄλγ*,ἀλγεινός,2,2
44,[α|ά|ἀ|ἄ]λγ.+,ἄλγ*,καρδιαλγικῷ,0,3
46,[α|ά|ἀ|ἄ]λγ.+,ἄλγ*,ἀλγεῦντα,0,1
48,[α|ά|ἀ|ἄ]λγ.+,ἄλγ*,προαλγήσασαι,0,2
49,[α|ά|ἀ|ἄ]λγ.+,ἄλγ*,κεφαλαλγίῃ,0,2
50,[α|ά|ἀ|ἄ]λγ.+,ἄλγ*,κεφαλαλγίαι,0,5
51,[α|ά|ἀ|ἄ]λγ.+,ἄλγ*,λαλγίην,0,1
53,[α|ά|ἀ|ἄ]λγ.+,ἄλγ*,ὀσφυαλγέες,0,2
54,[α|ά|ἀ|ἄ]λγ.+,ἄλγ*,καρδιαλγικὰ,0,4
56,[α|ά|ἀ|ἄ]λγ.+,ἄλγ*,ὐσφυαλγέσιν,0,1
57,[α|ά|ἀ|ἄ]λγ.+,ἄλγ*,κεφαλαλγία,0,5
58,[α|ά|ἀ|ἄ]λγ.+,ἄλγ*,ἀλγεόντων,0,2
59,[α|ά|ἀ|ἄ]λγ.+,ἄλγ*,κεφαλαλγέες,0,9
60,[α|ά|ἀ|ἄ]λγ.+,ἄλγ*,ἀλγέειν,0,5
61,[α|ά|ἀ|ἄ]λγ.+,ἄλγ*,ἀλγεούσῃσι,0,1
62,[α|ά|ἀ|ἄ]λγ.+,ἄλγ*,ἀλγέουσαν,0,1
63,[α|ά|ἀ|ἄ]λγ.+,ἄλγ*,ἀλγέοντι,0,2
64,[α|ά|ἀ|ἄ]λγ.+,ἄλγ*,ἀλγέουσιν,0,4
65,[α|ά|ἀ|ἄ]λγ.+,ἄλγ*,προαλγήσαντι,0,1
67,[α|ά|ἀ|ἄ]λγ.+,ἄλγ*,κεφαλαλγικὰ,0,4
68,[α|ά|ἀ|ἄ]λγ.+,ἄλγ*,ἀλγέοντες,0,1
69,[α|ά|ἀ|ἄ]λγ.+,ἄλγ*,καρδιαλγικός,0,1
70,[α|ά|ἀ|ἄ]λγ.+,ἄλγ*,ἀλγέῃ,0,25
71,[α|ά|ἀ|ἄ]λγ.+,ἄλγ*,προαλγήσαντες,0,1
73,[α|ά|ἀ|ἄ]λγ.+,ἄλγ*,διαλγέει,0,1
74,[α|ά|ἀ|ἄ]λγ.+,ἄλγ*,ὀσφυαλγέσιν,0,1
75,[α|ά|ἀ|ἄ]λγ.+,ἄλγ*,ἀλγέωσι,0,2
76,[α|ά|ἀ|ἄ]λγ.+,ἄλγ*,ἀνάλγητος,6,3
78,[α|ά|ἀ|ἄ]λγ.+,ἄλγ*,ἀλγεούσης,0,1
79,[α|ά|ἀ|ἄ]λγ.+,ἄλγ*,κεφαλαλγικοὶ,0,3
80,[α|ά|ἀ|ἄ]λγ.+,ἄλγ*,ἀναλγέα,0,1
82,[α|ά|ἀ|ἄ]λγ.+,ἄλγ*,ἀλγέοιεν,0,1
83,[α|ά|ἀ|ἄ]λγ.+,ἄλγ*,κεφαλαλγίῃσιν,0,1
84,[α|ά|ἀ|ἄ]λγ.+,ἄλγ*,κεφαλαλγίῃσι,0,3
85,[α|ά|ἀ|ἄ]λγ.+,ἄλγ*,κεφαλαλγικοί,0,1
86,[α|ά|ἀ|ἄ]λγ.+,ἄλγ*,ἀλγέοντάς,0,1
87,[α|ά|ἀ|ἄ]λγ.+,ἄλγ*,ἀλγηδών,7,12
88,[α|ά|ἀ|ἄ]λγ.+,ἄλγ*,ὀσφυαλγίην,0,1
89,[α|ά|ἀ|ἄ]λγ.+,ἄλγ*,ἄλγος,4,7
90,[α|ά|ἀ|ἄ]λγ.+,ἄλγ*,πεφαλαλγικοὶ,0,1
91,[α|ά|ἀ|ἄ]λγ.+,ἄλγ*,καρδιαλγικοὶ,0,3
93,[α|ά|ἀ|ἄ]λγ.+,ἄλγ*,ἀλγήμασι,0,2
94,[α|ά|ἀ|ἄ]λγ.+,ἄλγ*,κεφαλαλγικῷ,0,4
95,[α|ά|ἀ|ἄ]λγ.+,ἄλγ*,ἀλγέουσι,0,10
97,[α|ά|ἀ|ἄ]λγ.+,ἄλγ*,ἀλγέω,14,84
98,[α|ά|ἀ|ἄ]λγ.+,ἄλγ*,ὑστεραλγὲς,0,1
99,[α|ά|ἀ|ἄ]λγ.+,ἄλγ*,ἀλγήσαν,0,1
100,^[ὀ|ὠ]δ[ύ|υ]ν.,ὀδύν*,ὀδυναίτερον,0,1
101,^[ὀ|ὠ]δ[ύ|υ]ν.,ὀδύν*,ὀδυνῶνται,0,5
102,^[ὀ|ὠ]δ[ύ|υ]ν.,ὀδύν*,ὀδύνη,3,645
104,^[ὀ|ὠ]δ[ύ|υ]ν.,ὀδύν*,ὀδυνέων,0,2
105,^[ὀ|ὠ]δ[ύ|υ]ν.,ὀδύν*,ὀδυνωμένους,0,1
106,^[ὀ|ὠ]δ[ύ|υ]ν.,ὀδύν*,ὀδυνώδης,0,5
107,^[ὀ|ὠ]δ[ύ|υ]ν.,ὀδύν*,ὀδυνήματα,0,3
108,^[ὀ|ὠ]δ[ύ|υ]ν.,ὀδύν*,ὀδυνώδεα,0,12
109,^[ὀ|ὠ]δ[ύ|υ]ν.,ὀδύν*,ὀδυνώδεας,0,1
110,^[ὀ|ὠ]δ[ύ|υ]ν.,ὀδύν*,ὠδυναμίη,0,1
111,^[ὀ|ὠ]δ[ύ|υ]ν.,ὀδύν*,ὀδυνήμασι,0,1
112,^[ὀ|ὠ]δ[ύ|υ]ν.,ὀδύν*,ὀδυνῶδες,0,3
113,^[ὀ|ὠ]δ[ύ|υ]ν.,ὀδύν*,ὀδυνηθῇ,0,1
114,^[ὀ|ὠ]δ[ύ|υ]ν.,ὀδύν*,ὀδυνέωνται,0,1
115,^[ὀ|ὠ]δ[ύ|υ]ν.,ὀδύν*,ὀδυνημάτων,0,2
116,^[ὀ|ὠ]δ[ύ|υ]ν.,ὀδύν*,ὀδυνάω,0,17
117,^[ὀ|ὠ]δ[ύ|υ]ν.,ὀδύν*,ὀδυνωμένῳ,0,1
118,^[ὀ|ὠ]δ[ύ|υ]ν.,ὀδύν*,ὀδυνώδεες,0,17
119,^[ὀ|ὠ]δ[ύ|υ]ν.,ὀδύν*,ὀδυνώμενα,0,1
120,^[ὀ|ὠ]δ[ύ|υ]ν.,ὀδύν*,ὀδυνηρός,5,1
121,^π[ό|ο]ν[ο|ό|έ|ε|η|ή|ῆ](?!ρ).+,πόνο*,πονέουσα,0,2
123,^π[ό|ο]ν[ο|ό|έ|ε|η|ή|ῆ](?!ρ).+,πόνο*,πονήσεται,0,1
124,^π[ό|ο]ν[ο|ό|έ|ε|η|ή|ῆ](?!ρ).+,πόνο*,πονέον,0,8
125,^π[ό|ο]ν[ο|ό|έ|ε|η|ή|ῆ](?!ρ).+,πόνο*,πονοῦντα,0,1
126,^π[ό|ο]ν[ο|ό|έ|ε|η|ή|ῆ](?!ρ).+,πόνο*,πονήσαντα,0,2
127,^π[ό|ο]ν[ο|ό|έ|ε|η|ή|ῆ](?!ρ).+,πόνο*,πονέουσιν,0,4
128,^π[ό|ο]ν[ο|ό|έ|ε|η|ή|ῆ](?!ρ).+,πόνο*,πονέωσι,0,1
129,^π[ό|ο]ν[ο|ό|έ|ε|η|ή|ῆ](?!ρ).+,πόνο*,πονήσειέ,0,1
130,^π[ό|ο]ν[ο|ό|έ|ε|η|ή|ῆ](?!ρ).+,πόνο*,πονεούσης,0,1
131,^π[ό|ο]ν[ο|ό|έ|ε|η|ή|ῆ](?!ρ).+,πόνο*,πονήσαντες,1,1
132,^π[ό|ο]ν[ο|ό|έ|ε|η|ή|ῆ](?!ρ).+,πόνο*,πονῆται,0,1
133,^π[ό|ο]ν[ο|ό|έ|ε|η|ή|ῆ](?!ρ).+,πόνο*,πονέοι,0,1
135,^π[ό|ο]ν[ο|ό|έ|ε|η|ή|ῆ](?!ρ).+,πόνο*,πονεέτω,0,4
136,^π[ό|ο]ν[ο|ό|έ|ε|η|ή|ῆ](?!ρ).+,πόνο*,πονέοντες,0,2
137,^π[ό|ο]ν[ο|ό|έ|ε|η|ή|ῆ](?!ρ).+,πόνο*,πονήσασιν,0,1
138,^π[ό|ο]ν[ο|ό|έ|ε|η|ή|ῆ](?!ρ).+,πόνο*,πονέοντές,0,1
140,^π[ό|ο]ν[ο|ό|έ|ε|η|ή|ῆ](?!ρ).+,πόνο*,πονήσαντος,1,1
142,^π[ό|ο]ν[ο|ό|έ|ε|η|ή|ῆ](?!ρ).+,πόνο*,πονέειν,0,19
143,^π[ό|ο]ν[ο|ό|έ|ε|η|ή|ῆ](?!ρ).+,πόνο*,πονέοντα,0,4
144,^π[ό|ο]ν[ο|ό|έ|ε|η|ή|ῆ](?!ρ).+,πόνο*,πόνος,50,453
145,^π[ό|ο]ν[ο|ό|έ|ε|η|ή|ῆ](?!ρ).+,πόνο*,πονήματα,0,1
146,^π[ό|ο]ν[ο|ό|έ|ε|η|ή|ῆ](?!ρ).+,πόνο*,πονέῃ,0,11
147,^π[ό|ο]ν[ο|ό|έ|ε|η|ή|ῆ](?!ρ).+,πόνο*,πονεόμενον,0,1
148,^π[ό|ο]ν[ο|ό|έ|ε|η|ή|ῆ](?!ρ).+,πόνο*,πονέεται,0,7
149,^π[ό|ο]ν[ο|ό|έ|ε|η|ή|ῆ](?!ρ).+,πόνο*,πονέουσαι,0,2
150,^π[ό|ο]ν[ο|ό|έ|ε|η|ή|ῆ](?!ρ).+,πόνο*,πονεομένου,0,1
151,^π[ό|ο]ν[ο|ό|έ|ε|η|ή|ῆ](?!ρ).+,πόνο*,πονέω,46,105
152,^π[ό|ο]ν[ο|ό|έ|ε|η|ή|ῆ](?!ρ).+,πόνο*,πονησάσης,0,1
153,^π[ό|ο]ν[ο|ό|έ|ε|η|ή|ῆ](?!ρ).+,πόνο*,πονέεις,0,1
155,^π[ό|ο]ν[ο|ό|έ|ε|η|ή|ῆ](?!ρ).+,πόνο*,πονεύμενα,0,2
156,^π[ό|ο]ν[ο|ό|έ|ε|η|ή|ῆ](?!ρ).+,πόνο*,πονεῦγται,0,1
157,^π[ό|ο]ν[ο|ό|έ|ε|η|ή|ῆ](?!ρ).+,πόνο*,πονέσωσιν,0,1
158,^π[ό|ο]ν[ο|ό|έ|ε|η|ή|ῆ](?!ρ).+,πόνο*,πονέοντι,0,2
159,^π[ό|ο]ν[ο|ό|έ|ε|η|ή|ῆ](?!ρ).+,πόνο*,πονέσῃ,0,8
160,^π[ό|ο]ν[ο|ό|έ|ε|η|ή|ῆ](?!ρ).+,πόνο*,πονητέος,0,1
161,^π[ό|ο]ν[ο|ό|έ|ε|η|ή|ῆ](?!ρ).+,πόνο*,πονέοντος,0,3
